Product Name,Price
Portátil Hp 245 G7 Amd Athlon 3020e 8gb 1tb + Ssd 240gb+ Win,1.429.900
Lenovo Legión Ryzen 7 5800h Rtx 3050ti 16g 512 165h Portatil,5.249.999
"Laptop Lenovo IdeaPad S145-14AST  negra onix 14"", AMD A4-Series 9125  4GB de RAM 500GB HDD, AMD Radeon R3 1366x768px Windows 10 Home",1.020.000
"Laptop HP 240 G7 plateado ceniza oscuro 14"", Intel Core i3 1005G1  8GB de RAM 1TB HDD, Intel UHD Graphics G1 1366x768px Windows 10 Home",1.890.000
Portatil Lenovo Amd Ryzen 5 5500u Ssd 512 + Hdd 1tb Ram 16gb,2.979.900
"Portatil Asus Tuf Core I5 16gb 512gb Tv 4gb Gtx1650 15,6 Fhd",3.999.800
"Laptop Asus VivoBook K513EA plateada 15.6"", Intel Core i7 1165G7  8GB de RAM 512GB SSD, Intel Iris Xe Graphics G7 96EUs 1920x1080px FreeDOS",4.400.000
Portatil Asus X415 Intel Cel Solido 256gb Ssd Ram 4gb Win10 ,1.135.900
Portatil Hp 245 G7 Amd A4 9125 2.6ghz 1 Tera 8gb Radeon R3,1.249.900
Portatil Hp 245 G7  Amd A4 9125 14  4gb 1tb Freedos,919.000
Asus M415da-bv797 14 Ryzen 3 8gb 256gb Morral Y Mouse,1.849.000
"Laptop Asus VivoBook X543UA gris oscura 15.6"", Intel Core i5 8250U  8GB de RAM 256GB SSD, Intel UHD Graphics 620 1920x1080px Windows 10 Home",1.949.900
"Laptop Asus VivoBook X543UA gris oscura 15.6"", Intel Core i3 6100U  4GB de RAM 1TB HDD, Intel HD Graphics 520 1366x768px Windows 10 Home",1.569.000
Portatil Hp 15 Ef2126wm Ryzen 5-5500u 8gb 256 Gb Ssd Win 11,2.099.000
Asus Strix G15 Ryzen 7 5800h Rtx 3050 16g 512g 144h Portatil,5.399.999
